symbol,base_coin,quote_coin,project_name
SNXUSDT,SNX,USDT,Synthetix Network
SOLBNB,SOL,BNB,Solana
SOLBRL,SOL,BRL,Solana
SOLBTC,SOL,BTC,Solana
SOLETH,SOL,ETH,Solana
SOLEUR,SOL,EUR,Solana
SOLFDUSD,SOL,FDUSD,Solana
SOLTRY,SOL,TRY,Solana
SOLTUSD,SOL,TUSD,Solana
SOLUSDC,SOL,USDC,Solana
SOLUSDT,SOL,USDT,Solana
SPELLTRY,SPELL,TRY,The Spellcaster
SPELLUSDT,SPELL,USDT,The Spellcaster
SSVBTC,SSV,BTC,SSV Network
SSVETH,SSV,ETH,SSV Network
SSVUSDT,SSV,USDT,SSV Network
STEEMBTC,STEEM,BTC,Steem
STEEMETH,STEEM,ETH,Steem
STEEMUSDT,STEEM,USDT,Steem
STGBTC,STG,BTC,Stargate Finance
STGUSDT,STG,USDT,Stargate Finance
STORJBTC,STORJ,BTC,Storj
STORJTRY,STORJ,TRY,Storj
STORJUSDT,STORJ,USDT,Storj
STPTBTC,STPT,BTC,Standard Tokenization Protocol
STPTUSDT,STPT,USDT,Standard Tokenization Protocol
STRAXBTC,STRAX,BTC,Stratis
STRAXTRY,STRAX,TRY,Stratis
STRAXUSDT,STRAX,USDT,Stratis
STXBNB,STX,BNB,Stacks
STXBTC,STX,BTC,Stacks
STXTRY,STX,TRY,Stacks
STXUSDT,STX,USDT,Stacks
SUIBNB,SUI,BNB,Sui
SUIBTC,SUI,BTC,Sui
SUIEUR,SUI,EUR,Sui
SUIFDUSD,SUI,FDUSD,Sui
SUITRY,SUI,TRY,Sui
SUIUSDT,SUI,USDT,Sui
SUNUSDT,SUN,USDT,Sun Token
SUPERBTC,SUPER,BTC,SuperVerse
SUPERUSDT,SUPER,USDT,SuperVerse
SUSHIBTC,SUSHI,BTC,Sushi
SUSHIUSDT,SUSHI,USDT,Sushi
SXPBTC,SXP,BTC,Solar
SXPTRY,SXP,TRY,Solar
SXPUSDT,SXP,USDT,Solar
SYNUSDT,SYN,USDT,Syn Dog
SYSBTC,SYS,BTC,Syscoin
SYSUSDT,SYS,USDT,Syscoin
TFUELBTC,TFUEL,BTC,Theta Fuel
TFUELUSDT,TFUEL,USDT,Theta Fuel
THETABTC,THETA,BTC,THETA
THETAUSDT,THETA,USDT,THETA
TIABTC,TIA,BTC,Celestia
TIATRY,TIA,TRY,Celestia
TIAUSDT,TIA,USDT,Celestia
TKOUSDT,TKO,USDT,Tokocrypto
TLMTRY,TLM,TRY,Alien Worlds
TLMUSDT,TLM,USDT,Alien Worlds
TRBBTC,TRB,BTC,Tellor Tributes
TRBTRY,TRB,TRY,Tellor Tributes
TRBUSDT,TRB,USDT,Tellor Tributes
TRUBTC,TRU,BTC,TrueFi
TRUUSDT,TRU,USDT,TrueFi
TRXBNB,TRX,BNB,TRON
TRXBTC,TRX,BTC,TRON
TRXETH,TRX,ETH,TRON
TRXEUR,TRX,EUR,TRON
TRXTRY,TRX,TRY,TRON
TRXUSDC,TRX,USDC,TRON
TRXUSDT,TRX,USDT,TRON
TRXXRP,TRX,XRP,TRON
TUSDT,T,USDT,Threshold Network
TUSDUSDT,TUSD,USDT,TrueUSD
TWTTRY,TWT,TRY,Trust Wallet
TWTUSDT,TWT,USDT,Trust Wallet
UMABTC,UMA,BTC,UMA
UMATRY,UMA,TRY,UMA
UMAUSDT,UMA,USDT,UMA
UNIBTC,UNI,BTC,Uniswap (Wormhole)
UNIETH,UNI,ETH,Uniswap (Wormhole)
UNITRY,UNI,TRY,Uniswap (Wormhole)
UNIUSDT,UNI,USDT,Uniswap (Wormhole)
USDCUSDT,USDC,USDT,zkSync Bridged USDC (zkSync)
USDPUSDT,USDP,USDT,Pax Dollar
USDTARS,USDT,ARS,Zircuit Bridged USDT (Zircuit)
USDTBRL,USD,TBRL,US Dollar (Fiat)
USDTDAI,USDT,DAI,Zircuit Bridged USDT (Zircuit)
USDTPLN,USDT,PLN,Zircuit Bridged USDT (Zircuit)
USDTTRY,USDT,TRY,Zircuit Bridged USDT (Zircuit)
USDTUAH,USDT,UAH,Zircuit Bridged USDT (Zircuit)
USDTZAR,USDT,ZAR,Zircuit Bridged USDT (Zircuit)
USTCUSDT,USTC,USDT,Wrapped USTC
UTKUSDT,UTK,USDT,xMoney
VETBNB,VET,BNB,VeChain
VETBTC,VET,BTC,VeChain
VETETH,VET,ETH,VeChain
VETEUR,VET,EUR,VeChain
VETTRY,VET,TRY,VeChain
VETUSDT,VET,USDT,VeChain
VIBUSDT,VIB,USDT,Viberate
VOXELUSDT,VOXEL,USDT,Voxies
VTHOUSDT,VTHO,USDT,VeThor
WANBTC,WAN,BTC,Wanchain
WANUSDT,WAN,USDT,Wanchain
WAXPBTC,WAXP,BTC,WAX
WAXPUSDT,WAXP,USDT,WAX
WBETHETH,WBETH,ETH,Wrapped Beacon ETH
WBETHUSDT,WBETH,USDT,Wrapped Beacon ETH
WBTCBTC,WBTC,BTC,zkSync Bridged WBTC (zkSync)
WBTCETH,WBTC,ETH,zkSync Bridged WBTC (zkSync)
WBTCUSDT,WBTC,USDT,zkSync Bridged WBTC (zkSync)
WINEUR,WIN,EUR,WINkLink BSC
WINGUSDT,WING,USDT,Wing Finance
WINTRX,WIN,TRX,WINkLink BSC
WINUSDT,WIN,USDT,WINkLink BSC
WLDBTC,WLD,BTC,Worldcoin
WLDTRY,WLD,TRY,Worldcoin
WLDUSDT,WLD,USDT,Worldcoin
WOOUSDT,WOO,USDT,WOO
XECTRY,XEC,TRY,eCash
XECUSDT,XEC,USDT,eCash
XLMBTC,XLM,BTC,Stellar
XLMETH,XLM,ETH,Stellar
XLMEUR,XLM,EUR,Stellar
XLMTRY,XLM,TRY,Stellar
XLMUSDC,XLM,USDC,Stellar
XLMUSDT,XLM,USDT,Stellar
XNOBTC,XNO,BTC,Nano
XNOUSDT,XNO,USDT,Nano
XRPBNB,XRP,BNB,XRP
XRPBRL,XRP,BRL,XRP
XRPBTC,XRP,BTC,XRP
XRPETH,XRP,ETH,XRP
XRPEUR,XRP,EUR,XRP
XRPFDUSD,XRP,FDUSD,XRP
XRPTRY,XRP,TRY,XRP
XRPTUSD,XRP,TUSD,XRP
XRPUSDC,XRP,USDC,XRP
XRPUSDT,XRP,USDT,XRP
XTZBTC,XTZ,BTC,Tezos
XTZUSDT,XTZ,USDT,Tezos
XVGETH,XVG,ETH,Verge
XVGTRY,XVG,TRY,Verge
XVGUSDT,XVG,USDT,Verge
XVSBNB,XVS,BNB,Venus
XVSBTC,XVS,BTC,Venus
XVSTRY,XVS,TRY,Venus
XVSUSDT,XVS,USDT,Venus
YFIBTC,YFI,BTC,yearn.finance
YFIUSDT,YFI,USDT,yearn.finance
YGGBTC,YGG,BTC,Yield Guild Games
YGGUSDT,YGG,USDT,Yield Guild Games
ZECBTC,ZEC,BTC,Zcash
ZECETH,ZEC,ETH,Zcash
ZECUSDT,ZEC,USDT,Zcash
ZENBTC,ZEN,BTC,Horizen
ZENUSDT,ZEN,USDT,Horizen
ZILBTC,ZIL,BTC,Zilliqa
ZILETH,ZIL,ETH,Zilliqa
ZILTRY,ZIL,TRY,Zilliqa
ZILUSDT,ZIL,USDT,Zilliqa
ZRXBTC,ZRX,BTC,0x Protocol
ZRXUSDT,ZRX,USDT,0x Protocol
